The Wolfman (2010 film) was without a director.,0,disagree
Hawaii has no main islands.,1,unrelated
The Great Gatsby does not explore themes of decadence.,2,disagree
"Google was incorporated as a privately held company on September 4, 1999.",3,disagree
Stanley Kubrick did not work with Peter Sellers.,4,unrelated
Cancer did not cause 8.8 million deaths.,5,disagree
Emma was broadcast in July 1991.,6,disagree
Harry Potter was written by an Icelandic author.,7,unrelated
The Twelfth Doctor is not a Time Lord.,8,unrelated
Ready Player One is a mascot.,9,disagree
Julius Caesar was directed only by Alfred Hitchcock.,10,unrelated
Beijing is rarely a city.,11,disagree
John Fante is an American novelist.,12,disagree
Led Zeppelin is incapable of being an English band.,13,disagree
Jack Dorsey is only a sports entrepreneur.,14,unrelated
Underworld is a tourist trap.,15,disagree
Michael Bay wrote the screenplay for the film Logan (film) by himself.,16,disagree
Lucas starred actresses exclusively born on in July.,17,disagree
"Goliyon Ki Raasleela Ram-Leela is a film released on May 8th, 2013.",18,unrelated
Floyd Mayweather Jr. is a current amateur boxer.,19,disagree
Abigail Breslin was incapable of starring in Nim's Island.,20,unrelated
The Hermetic Order of the Golden Dawn was inactive during the 19th and 20th centuries.,21,disagree
J.Lo deals only with themes of family.,22,disagree
Game of Thrones has received zero Primetime Emmy Awards.,23,disagree
Courtney Love appeared in her first crime thriller in 2012.,24,disagree
Room is a horror film released in 2015.,25,unrelated
Lee Harvey Oswald was only arrested for the assassination of President George Washington.,26,unrelated
The 2011 FIFA U-20 World Cup was hosted in Germany.,27,unrelated
Long Road Out of Eden only had September on it.,28,unrelated
"The Hunger Games' (film) sequel was released before November 22nd, 2013.",29,unrelated
Home Alone is an ad campaign.,30,unrelated
James Taylor's first compilation album was not certified Diamond.,31,unrelated
The 2000 Football League Cup Final was Leicester City's third season as a team.,32,unrelated
Cage Warriors has only staged one MMA event.,33,unrelated
The Fosters is a Fox television show.,34,unrelated
David Tennant received an award sometime in the 2010s.,35,disagree
A Monster Calls was only directed by Ron Howard.,36,unrelated
Solange Knowles refused to ever sing or write songs.,37,disagree
Salman Khan was the lowest ranked Indian on a list of top-paid entertainers.,38,unrelated
Angela Lansbury did not co-own Corymore Productions.,39,disagree
Austria is not in Europe.,40,unrelated
Nickelodeon is comprised entirely of noneducational sitcoms.,41,disagree
Whoopi Goldberg is a fly.,42,unrelated
Wentworth is Japanese.,43,unrelated
Prison Break was broadcast on Fox in 2013.,44,unrelated
Unpredictable was only a book.,45,disagree
Mickey Rooney made zero films between the ages of 15 and 25.,46,disagree
Justinian I became emperor in 565.,47,disagree
"Lebanon was referred to as the ""United States of America of the East"" because of its development.",48,unrelated
Game of Thrones (season 1) was only ever based on a video game.,49,unrelated
"The Fosters first premiered on January 3, 2013.",50,unrelated
Mukesh Ambani's has no middle name.,51,unrelated
Margot Frank's middle name was Alice.,52,disagree
The Eagles released their third album in 2005.,53,unrelated
One Direction's Where We Are Tour was the lowest grossing tour ever by a vocal group.,54,unrelated
