Headline,Body ID
Syd Barrett contributed to A Saucerful of Secrets.,3865
R. Kelly wrote a song for the soundtrack of Space Jam.,3866
Paul Thomas Anderson directed Boogie Nights in 1997.,3867
Minions had two directors.,3868
Caryn Mandabach was the producer of Roseanne.,3869
Vincent Cassel starred in a thriller.,3870
Courtney Love is an actor.,3871
Warren Casey is a composer of Grease.,3872
The Gadsden flag is a historical flag.,3873
Dwayne Johnson works for WWE.,3874
Jon Pertwee was in a series.,3875
The Emoji Movie was produced by an animation studio.,3876
Nelson Mandela was a humanitarian.,3877
Tony Blair was elected after John Smith's sudden death.,3878
Adolf Hitler joined a political party.,3879
Don Simpson and Jerry Bruckheimer worked together to produce The Rock.,3880
Judith Barsi appeared in films.,3881
Mr. Sunshine started on February 9.,3882
George A. Romero worked on The Crazies.,3883
Judi Dench has won awards.,3884
Horror is the genre of The Crazies.,3885
Arrested Development follows the fictitious Bluth family.,3886
Muhammad was persecuted by some Meccan tribes.,3887
Emma is an adaptation of an 1815 novel.,3888
Dwayne Johnson had a role in The Scorpion King.,3889
Antonio Vivaldi was born in a city in Italy.,3890
Sora is the main character in Kingdom Hearts III.,3891
Keeping Up with the Joneses had a cost of $40 million.,3892
Bane is a fictional comic book character.,3893
Tyrion Lannister was created by an American author.,3894
Sharon Tate married in January 1968.,3895
Adam West was born in a month.,3896
Hairspray sold copies in the USA.,3897
Sarah Paulson played a role in a comedy-drama series on NBC.,3898
"Syria includes Syrian Arabs, Greeks, Armenians, Assyrians, Kurds, Circassians,  Mandeans, and Turks.",3899
Charles II of England had a brother.,3900
Jessica Biel has acted in at least three comedy movies.,3901
Muhammad Ali was in a match.,3902
Marlon Brando was in a film by a film director and he was American.,3903
Glenn Frey was a member of the Eagles.,3904
David Simon was birthed in 1960.,3905
James Mangold directed Walk the Line.,3906
Narcolepsy can disrupt sleep.,3907
James Taylor released a 1976 Greatest Hits album.,3908
Imagine Dragons has a studio album called Smoke + Mirrors.,3909
Richard Gere starred in an American thriller film.,3910
Spider-Man was given super strength from it's creators.,3911
Serbia has a high rank on an index.,3912
Wonder Woman has appeared in the comics for the Justice Society.,3913
A subclass of anti-nuclear antibodies are anti-Ro antibodies.,3914
Fifty Shades of Grey sold over 125 million copies.,3915
"Dungeons & Dragons was published by Tactical Studies Rules, Inc.",3916
Evil is commonly associated with trauma.,3917
Central America contains Belize.,3918
Judd Apatow produced The Cable Guy.,3919
Cara Delevingne had roles that are major.,3920
Grace Jones influenced New York's cross-dressing movement in the 1980s.,3921
"Ryder is also referred to as Ryder System, Inc.",3922
Apocalypse Now was produced by and co-written by Francis Ford Coppola.,3923
Drama school offers a degree.,3924
Sue Bird was picked first overall in the WNBA Draft of 2002.,3925
Cosmopolitan was transformed into a literary magazine before changing again.,3926
Ready Player One won a prize from a nonprofit organization.,3927
Christoph Waltz is an  award-winning actor.,3928
Texas shares a border with a place.,3929
Roger Penrose shared a prize with Stephen Hawking.,3930
Assassination is a film that Jun Ji-hyun is in.,3931
Arkham Asylum's patients include a villain.,3932
1993 was the year Miranda Cosgrove was born.,3933
Dumb and Dumber is an American comedy road film.,3934
David Thewlis is an English screenwriter.,3935
Elizabeth Banks did a Netflix miniseries.,3936
"In 2011's summer transfer period, a team signed Romelu Lukaku.",3937
"Beverly Hills, 90210 addressed numerous topical issues.",3938
Maggie Gyllenhaal starred in Won't Back Down in 2012.,3939
Glamorous is a song by Fergie.,3940
The Odia language is used for communication by a good number of people.,3941
Tardigrades have been found in at least one habitat.,3942
Christianity spread to the Americas.,3943
Nelson Mandela was a humanitarian.,3944
Jim Parsons portrays Sheldon Cooper.,3945
Desperate Housewives is a tv show.,3946
