Headline,Body ID
Jackfruit is native to parts of South Asia and is cultivated.,0
Dangerous Liaisons is based on Les liaisons dangereuses.,1
Jackie Evancho issued an EP and albums.,2
Joseph Barbera was an American producer.,3
R. Kelly wrote a song for the soundtrack of Space Jam.,4
Yusuke Murata illustrated the manga Eyeshield 21.,5
"Laura Linney was nominated for Tony Awards for The Crucible, Sight Unseen, Time Stands Still, and The Little Foxes.",6
Katie Price has had 3 marriages.,7
Cindy McCain is the wife of American John McCain.,8
Sophie Turner has been in movies.,9
The House at Pooh Corner was written by an author.,10
Fifty Shades of Grey is a novel.,11
Jesus performed an action.,12
SpaceX wants to transport astronauts to ISS and return them to Earth safely.,13
Empress Matilda married a man.,14
Berlin is influenced by a temperate seasonal climate.,15
Karl Urban played Eomer in Peter Jackson's The Lord of the Rings trilogy.,16
The Illusionist was a success critically.,17
"Splash, released in 1984, is an American fantasy comedy film.",18
Hairspray sold copies in the USA.,19
Mike Pence supported the Tea Party movement.,20
The RMS Titanic called at France.,21
Stanley Tucci is a person.,22
Vladimir Putin returned to being Prime Minister in 2008.,23
Amazon Web Services featured services for networking.,24
Seal was born in 1963.,25
Walt Disney Pictures produced a film featuring the performance of Dennis Quaid.,26
The Promise premiered in 2016.,27
Adolf Hitler caused the murder of at least 5.5 million Jews.,28
Argentinian Lionel Messi plays soccer professionally.,29
Jenni Rivera won at least one award in 2007.,30
The internet originated in a project to build communication via computer networks.,31
"The number of residents of New Orleans is 343,829.",32
Jules Dumont d'Urville was a traveler.,33
Christina Aguilera sold albums.,34
John Denver sang about Colorado numerous times.,35
Wyatt Earp served as a bouncer.,36
Nick Jonas is a recording artist.,37
"Rebecca Ferguson starred in ""Life"".",38
A seven time Formula One World Champion is Michael Shumacher.,39
That '70s Show is a sitcom.,40
Rose Kennedy was an American born in the 1800s who lived to be over 100 years old.,41
Assassination is a film that Jun Ji-hyun is in.,42
Billy Bob Thornton was in U Turn (1997).,43
Snoop Dogg has worked with Dr. Dre.,44
Maynard James Keenan started the rock supergroup A Perfect Circe in 1999.,45
Kate Nash was taken off of her record label.,46
Abigail Breslin is a woman.,47
Julia Louis-Dreyfus has won a Primetime Emmy Award.,48
Nicole Kidman performs in films.,49
Jane Eyre was released in 2011.,50
Tramadol may cause nausea.,51
Interstellar premiered in the 2010s.,52
Titanic is a work.,53
Thenmerku Paruvakaatru is a 2010 drama film.,54
Leslie Howard directed professionally.,55
Richard Gere starred in a film that is categorized as musical.,56
Kurt Angle wrestles professionally.,57
Pembroke Castle is a fortified structure.,58
Muhammad Ali was a boxer.,59
"Loving tells the story of the 1967 U.S. Supreme Court decision Loving v. Virginia, which invalidated state laws prohibiting interracial marriage.",60
Robert Browning birth month is May.,61
Cindy McCain is the wife of a man.,62
Shakira is a dancer.,63
All the Lovers reached the top ten in France.,64
A central venous catheter is also referred to as a central line.,65
Michelle Obama gave speeches at two Democratic National Conventions.,66
The Incredible Hulk is a movie about superheroes.,67
Al Gore's middle name is Arnold.,68
Zendaya is professionally known by just her first name.,69
A mixtape is a home-made compilation of music.,70
Geraldine Chaplin made her American acting debut in Doctor Zhivago.,71
Hayden Panettiere starred as Sheryl Yoast in Remember the Titans.,72
Ready Player One was passed over for an award for libertarian science fiction novels.,73
William McKinley served as a US president.,74
Moana is a North American film.,75
Michael Jackson was a dancer.,76
Syd Barrett contributed to A Saucerful of Secrets.,77
Jerry Goldsmith collaborated with Paul Verhoeven.,78
Only Lovers Left Alive is a film.,79
Stone Temple Pilots had an original member that was born in February.,80
Warm Leatherette is by a woman.,81
From the Earth to the Moon is a miniseries.,82
The Uruguay national football team won the 1980 Mundialito.,83
Willie Nelson is a writers of songs.,84
John Cusack is an actor.,85
Neal Schon is an American vocalist.,86
Investment funds are also referred to as collective investment schemes.,87
The fifth president of Iraq was Saddam Hussein.,88
Avatar: The Last Airbender is a television series that is animated.,89
Slash writes songs.,90
Paul Feig was the director of a comedy film that had two women writers.,91
Amazon Web Services included tools for the inter-networking of physical technology.,92
David Beckham won the Premier League title multiple times.,93
Watchmen is a DC Comics collection.,94
One by One (Foo Fighters album) is the fourth studio album of Foo Fighters.,95
Rock music originated in North America.,96
Antonio Vivaldi was born in a city in Italy.,97
Roman Atwood was born in 1983.,98
A producer of Spider-Man 3 was an Israeli-American businessman.,99
Sean Connery won an Academy Award.,100
Blue Velvet was written by David Lynch.,101
The 20th President of Liberia was William R. Tolbert Jr..,102
Odin was known in Old Saxon mythology as Wōdan.,103
Logan Lerman starred in a 2016 American drama work.,104
Dwyane Wade was in the All-Star team.,105
George VI was succeeded by his eldest female child.,106
Jon Watts had the movie Spider-Man: Homecoming released in 2017.,107
Ted Kaczynski conveyed a letter to the New York Times.,108
Gone Girl was written by Gillian Flynn.,109
Sigmund Freud set up his clinical practice in Vienna and was influential.,110
Wonder Woman has appeared in the comics for the Justice Society.,111
Yusuke Murata illustrated the manga Eyeshield 21.,112
Jensen Ackles is not known for his roles in television as Jason Teague in Smallville.,113
"Hate group practices hatred, hostility, or violence towards members of a race, ethnicity, nation, religion, gender, gender identity, sexual orientation or any other designated sector of society.",114
Aishwarya Rai was in several television commercials.,115
Donkey can be characterized as a fast talker.,116
The USC School of Cinematic Arts was formerly called the USC School of Cinema-Television.,117
Julie Christie starred in a movie.,118
Robert Redford was in the main cast of Perry Mason.,119
Unforgettable is directed by debut director Denise Di Novi.,120
Furia is adapted from a short story by Julio Cortazar.,121
"Lady Gaga is an American singer, songwriter, and actress.",122
Stone Temple Pilots had an original member that was an American rock guitarist.,123
The French Revolution happened after the Seven Years' War in 1789.,124
Jane Fonda is a seven-time Academy Award nominee.,125
King Kong was directed by a person.,126
Winnipeg is home to the Winnipeg Goldeyes.,127
"Giampaolo Pazzini represented his country, Italy, at the 2010 FIFA World Cup.",128
Steve Buscemi is in at least one movie.,129
Dennis Hopper had an acting career.,130
A Few Good Men is a film.,131
Naomi Watts is an English film producer.,132
Zendaya released a single.,133
England shares land borders with Scotland and Wales.,134
