5690
5690
5910
[0, 0, 1, 1000, 0, 0.5, 0.0, 0.5416666666666666]
Iteration 1, loss = 0.70639297
Iteration 2, loss = 0.67648832
Iteration 3, loss = 0.65379261
Iteration 4, loss = 0.63601280
Iteration 5, loss = 0.62036004
Iteration 6, loss = 0.60751409
Iteration 7, loss = 0.59799801
Iteration 8, loss = 0.59023708
Iteration 9, loss = 0.58502794
Iteration 10, loss = 0.58070375
Iteration 11, loss = 0.57750068
Iteration 12, loss = 0.57417479
Iteration 13, loss = 0.57220218
Iteration 14, loss = 0.57039786
Iteration 15, loss = 0.56847713
Iteration 16, loss = 0.56734081
Iteration 17, loss = 0.56665661
Iteration 18, loss = 0.56530099
Iteration 19, loss = 0.56403291
Iteration 20, loss = 0.56368678
Iteration 21, loss = 0.56204358
Iteration 22, loss = 0.56135255
Iteration 23, loss = 0.56085396
Iteration 24, loss = 0.56025755
Iteration 25, loss = 0.55911262
Iteration 26, loss = 0.55844723
Iteration 27, loss = 0.55933746
Iteration 28, loss = 0.55815617
Iteration 29, loss = 0.55745745
Iteration 30, loss = 0.55641820
Iteration 31, loss = 0.55580205
Iteration 32, loss = 0.55537932
Iteration 33, loss = 0.55507522
Iteration 34, loss = 0.55521004
Iteration 35, loss = 0.55399886
Iteration 36, loss = 0.55496683
Iteration 37, loss = 0.55551700
Iteration 38, loss = 0.55423755
Iteration 39, loss = 0.55265896
Iteration 40, loss = 0.55226482
Iteration 41, loss = 0.55246347
Iteration 42, loss = 0.55185405
Iteration 43, loss = 0.55131190
Iteration 44, loss = 0.55111482
Iteration 45, loss = 0.55128680
Iteration 46, loss = 0.55073513
Iteration 47, loss = 0.55050909
Iteration 48, loss = 0.55068652
Iteration 49, loss = 0.55069969
Iteration 50, loss = 0.54966339
Iteration 51, loss = 0.54930626
Iteration 52, loss = 0.54973453
Iteration 53, loss = 0.54884343
Iteration 54, loss = 0.54904748
Iteration 55, loss = 0.54849673
Iteration 56, loss = 0.54821026
Iteration 57, loss = 0.54793897
Iteration 58, loss = 0.54817946
Iteration 59, loss = 0.54768910
Iteration 60, loss = 0.54749990
Iteration 61, loss = 0.54723837
Iteration 62, loss = 0.54746572
Iteration 63, loss = 0.54692601
Iteration 64, loss = 0.54714648
Iteration 65, loss = 0.54659779
Iteration 66, loss = 0.54675760
Iteration 67, loss = 0.54640598
Iteration 68, loss = 0.54649541
Iteration 69, loss = 0.54622091
Iteration 70, loss = 0.54595492
Iteration 71, loss = 0.54606829
Iteration 72, loss = 0.54614088
Iteration 73, loss = 0.54556982
Iteration 74, loss = 0.54600806
Iteration 75, loss = 0.54530261
Iteration 76, loss = 0.54532853
Iteration 77, loss = 0.54505925
Iteration 78, loss = 0.54571658
Iteration 79, loss = 0.54492376
Iteration 80, loss = 0.54507668
Iteration 81, loss = 0.54557151
Iteration 82, loss = 0.54462373
Iteration 83, loss = 0.54463659
Iteration 84, loss = 0.54478738
Iteration 85, loss = 0.54459672
Iteration 86, loss = 0.54427130
Iteration 87, loss = 0.54430145
Iteration 88, loss = 0.54440498
Iteration 89, loss = 0.54417018
Iteration 90, loss = 0.54401179
Iteration 91, loss = 0.54466110
Iteration 92, loss = 0.54492256
Iteration 93, loss = 0.54401660
Iteration 94, loss = 0.54389638
Iteration 95, loss = 0.54372375
Iteration 96, loss = 0.54384433
Iteration 97, loss = 0.54537809
Iteration 98, loss = 0.54585183
Iteration 99, loss = 0.54387767
Iteration 100, loss = 0.54350477
Iteration 101, loss = 0.54377965
Iteration 102, loss = 0.54353509
Iteration 103, loss = 0.54336785
Iteration 104, loss = 0.54351418
Iteration 105, loss = 0.54296128
Iteration 106, loss = 0.54341312
Iteration 107, loss = 0.54308322
Iteration 108, loss = 0.54310790
Iteration 109, loss = 0.54343704
Iteration 110, loss = 0.54326755
Iteration 111, loss = 0.54278009
Iteration 112, loss = 0.54322290
Iteration 113, loss = 0.54296997
Iteration 114, loss = 0.54252852
Iteration 115, loss = 0.54299507
Iteration 116, loss = 0.54312909
Iteration 117, loss = 0.54293826
Iteration 118, loss = 0.54296894
Iteration 119, loss = 0.54310612
Iteration 120, loss = 0.54290134
Iteration 121, loss = 0.54310690
Iteration 122, loss = 0.54220325
Iteration 123, loss = 0.54249988
Iteration 124, loss = 0.54242633
Iteration 125, loss = 0.54243871
Iteration 126, loss = 0.54212762
Iteration 127, loss = 0.54337083
Iteration 128, loss = 0.54256044
Iteration 129, loss = 0.54219446
Iteration 130, loss = 0.54216232
Iteration 131, loss = 0.54240394
Iteration 132, loss = 0.54204702
Iteration 133, loss = 0.54284482
Iteration 134, loss = 0.54211528
Iteration 135, loss = 0.54210918
Iteration 136, loss = 0.54182278
Iteration 137, loss = 0.54198584
Iteration 138, loss = 0.54193199
Iteration 139, loss = 0.54272394
Iteration 140, loss = 0.54213174
Iteration 141, loss = 0.54190325
Iteration 142, loss = 0.54224114
Iteration 143, loss = 0.54225927
Iteration 144, loss = 0.54192891
Iteration 145, loss = 0.54199707
Iteration 146, loss = 0.54174870
Iteration 147, loss = 0.54160238
Iteration 148, loss = 0.54160371
Iteration 149, loss = 0.54206483
Iteration 150, loss = 0.54160974
Iteration 151, loss = 0.54171503
Iteration 152, loss = 0.54153034
Iteration 153, loss = 0.54150369
Iteration 154, loss = 0.54166567
Iteration 155, loss = 0.54138910
Iteration 156, loss = 0.54157003
Iteration 157, loss = 0.54148265
Iteration 158, loss = 0.54137854
Iteration 159, loss = 0.54139361
Iteration 160, loss = 0.54150426
Iteration 161, loss = 0.54139703
Iteration 162, loss = 0.54168976
Iteration 163, loss = 0.54175718
Iteration 164, loss = 0.54161454
Iteration 165, loss = 0.54161478
Iteration 166, loss = 0.54124363
Iteration 167, loss = 0.54130536
Iteration 168, loss = 0.54162823
Iteration 169, loss = 0.54219879
Iteration 170, loss = 0.54112782
Iteration 171, loss = 0.54155965
Iteration 172, loss = 0.54155985
Iteration 173, loss = 0.54114011
Iteration 174, loss = 0.54112558
Iteration 175, loss = 0.54099960
Iteration 176, loss = 0.54128133
Iteration 177, loss = 0.54101812
Iteration 178, loss = 0.54127692
Iteration 179, loss = 0.54087488
Iteration 180, loss = 0.54116718
Iteration 181, loss = 0.54093048
Iteration 182, loss = 0.54087815
Iteration 183, loss = 0.54124107
Iteration 184, loss = 0.54068019
Iteration 185, loss = 0.54099039
Iteration 186, loss = 0.54076094
Iteration 187, loss = 0.54123748
Iteration 188, loss = 0.54157282
Iteration 189, loss = 0.54077908
Iteration 190, loss = 0.54139467
Iteration 191, loss = 0.54277753
Iteration 192, loss = 0.54046036
Iteration 193, loss = 0.54079127
Iteration 194, loss = 0.54096503
Iteration 195, loss = 0.54066955
Iteration 196, loss = 0.54063214
Iteration 197, loss = 0.54060169
Iteration 198, loss = 0.54052146
Iteration 199, loss = 0.54039339
Iteration 200, loss = 0.54084547
Iteration 201, loss = 0.54158161
Iteration 202, loss = 0.54211645
Iteration 203, loss = 0.54033039
Iteration 204, loss = 0.54051964
Iteration 205, loss = 0.54053550
Iteration 206, loss = 0.54043547
Iteration 207, loss = 0.54058665
Iteration 208, loss = 0.54049487
Iteration 209, loss = 0.54033767
Iteration 210, loss = 0.54076770
Iteration 211, loss = 0.54100579
Iteration 212, loss = 0.54114587
Iteration 213, loss = 0.54109219
Iteration 214, loss = 0.54062356
Iteration 215, loss = 0.54015144
Iteration 216, loss = 0.54071377
Iteration 217, loss = 0.54019571
Iteration 218, loss = 0.54028835
Iteration 219, loss = 0.54065868
Iteration 220, loss = 0.53998376
Iteration 221, loss = 0.54021371
Iteration 222, loss = 0.54038289
Iteration 223, loss = 0.54127333
Iteration 224, loss = 0.54122746
Iteration 225, loss = 0.54120718
Iteration 226, loss = 0.54061715
Iteration 227, loss = 0.54056400
Iteration 228, loss = 0.54011709
Iteration 229, loss = 0.53981835
Iteration 230, loss = 0.54099498
Iteration 231, loss = 0.53997880
Iteration 232, loss = 0.54077540
Iteration 233, loss = 0.54043902
Iteration 234, loss = 0.54022931
Iteration 235, loss = 0.54053729
Iteration 236, loss = 0.54017559
Iteration 237, loss = 0.53981841
Iteration 238, loss = 0.54007609
Iteration 239, loss = 0.54046301
Iteration 240, loss = 0.53996131
Iteration 241, loss = 0.54049779
Iteration 242, loss = 0.53977957
Iteration 243, loss = 0.54016251
Iteration 244, loss = 0.53982052
Iteration 245, loss = 0.53995719
Iteration 246, loss = 0.53988449
Iteration 247, loss = 0.53955999
Iteration 248, loss = 0.54023928
Iteration 249, loss = 0.53974566
Iteration 250, loss = 0.53967321
Iteration 251, loss = 0.53972375
Iteration 252, loss = 0.53946556
Iteration 253, loss = 0.53978249
Iteration 254, loss = 0.54030460
Iteration 255, loss = 0.53982309
Iteration 256, loss = 0.53999182
Iteration 257, loss = 0.53983673
Iteration 258, loss = 0.53954255
Iteration 259, loss = 0.53952693
Iteration 260, loss = 0.53992000
Iteration 261, loss = 0.53980249
Iteration 262, loss = 0.53937684
Iteration 263, loss = 0.53982272
Iteration 264, loss = 0.53971132
Iteration 265, loss = 0.53944702
Iteration 266, loss = 0.53952911
Iteration 267, loss = 0.53968525
Iteration 268, loss = 0.53925032
Iteration 269, loss = 0.53924667
Iteration 270, loss = 0.53917009
Iteration 271, loss = 0.53968451
Iteration 272, loss = 0.53965923
Iteration 273, loss = 0.53956372
Iteration 274, loss = 0.53971592
Iteration 275, loss = 0.53932779
Iteration 276, loss = 0.53915187
Iteration 277, loss = 0.53947574
Iteration 278, loss = 0.53923341
Iteration 279, loss = 0.53983899
Iteration 280, loss = 0.53985825
Iteration 281, loss = 0.53916456
Iteration 282, loss = 0.53995756
Iteration 283, loss = 0.53940489
Iteration 284, loss = 0.53924788
Iteration 285, loss = 0.53951898
Iteration 286, loss = 0.53983224
Iteration 287, loss = 0.53908835
Iteration 288, loss = 0.53926781
Iteration 289, loss = 0.53890842
Iteration 290, loss = 0.53986332
Iteration 291, loss = 0.53927923
Iteration 292, loss = 0.53940852
Iteration 293, loss = 0.53904898
Iteration 294, loss = 0.53932217
Iteration 295, loss = 0.53897801
Iteration 296, loss = 0.53890005
Iteration 297, loss = 0.53881366
Iteration 298, loss = 0.53886380
Iteration 299, loss = 0.53932839
Iteration 300, loss = 0.53870038
Iteration 301, loss = 0.53895593
Iteration 302, loss = 0.53867550
Iteration 303, loss = 0.53875329
Iteration 304, loss = 0.53890528
Iteration 305, loss = 0.53907622
Iteration 306, loss = 0.53849285
Iteration 307, loss = 0.53862370
Iteration 308, loss = 0.53889751
Iteration 309, loss = 0.53899284
Iteration 310, loss = 0.53869723
Iteration 311, loss = 0.53861397
Iteration 312, loss = 0.53869718
Iteration 313, loss = 0.54027161
Iteration 314, loss = 0.53959390
Iteration 315, loss = 0.53888317
Iteration 316, loss = 0.53858600
Iteration 317, loss = 0.53835085
Iteration 318, loss = 0.53865528
Iteration 319, loss = 0.53842196
Iteration 320, loss = 0.53875074
Iteration 321, loss = 0.53842167
Iteration 322, loss = 0.53843693
Iteration 323, loss = 0.53863354
Iteration 324, loss = 0.53913219
Iteration 325, loss = 0.53894587
Iteration 326, loss = 0.53851469
Iteration 327, loss = 0.53865998
Iteration 328, loss = 0.53858362
Iteration 329, loss = 0.53887487
Iteration 330, loss = 0.53862759
Iteration 331, loss = 0.53846520
Iteration 332, loss = 0.53856943
Iteration 333, loss = 0.53879726
Iteration 334, loss = 0.53871573
Iteration 335, loss = 0.53909208
Iteration 336, loss = 0.53825871
Iteration 337, loss = 0.53807092
Iteration 338, loss = 0.53855332
Iteration 339, loss = 0.53874514
Iteration 340, loss = 0.53896804
Iteration 341, loss = 0.53838252
Iteration 342, loss = 0.53864040
Iteration 343, loss = 0.53831707
Iteration 344, loss = 0.53809792
Iteration 345, loss = 0.53834148
Iteration 346, loss = 0.53801577
Iteration 347, loss = 0.53802107
Iteration 348, loss = 0.53840091
Iteration 349, loss = 0.53795830
Iteration 350, loss = 0.53963999
Iteration 351, loss = 0.53807354
Iteration 352, loss = 0.53844219
Iteration 353, loss = 0.53866452
Iteration 354, loss = 0.53814988
Iteration 355, loss = 0.53834282
Iteration 356, loss = 0.53848758
Iteration 357, loss = 0.53812738
Iteration 358, loss = 0.53812699
Iteration 359, loss = 0.53800488
Iteration 360, loss = 0.53780384
Iteration 361, loss = 0.53830301
Iteration 362, loss = 0.53779955
Iteration 363, loss = 0.53857508
Iteration 364, loss = 0.53782382
Iteration 365, loss = 0.53802239
Iteration 366, loss = 0.53760963
Iteration 367, loss = 0.53773016
Iteration 368, loss = 0.53763826
Iteration 369, loss = 0.53768688
Iteration 370, loss = 0.53764068
Iteration 371, loss = 0.53755317
Iteration 372, loss = 0.53757733
Iteration 373, loss = 0.53789096
Iteration 374, loss = 0.53747967
Iteration 375, loss = 0.53743125
Iteration 376, loss = 0.53756922
Iteration 377, loss = 0.53809680
Iteration 378, loss = 0.53798930
Iteration 379, loss = 0.53760585
Iteration 380, loss = 0.53765664
Iteration 381, loss = 0.53745055
Iteration 382, loss = 0.53765064
Iteration 383, loss = 0.53892006
Iteration 384, loss = 0.53728142
Iteration 385, loss = 0.53729899
Iteration 386, loss = 0.53759622
Iteration 387, loss = 0.53771678
Iteration 388, loss = 0.53757375
Iteration 389, loss = 0.53747257
Iteration 390, loss = 0.53729374
Iteration 391, loss = 0.53739133
Iteration 392, loss = 0.53703669
Iteration 393, loss = 0.53768357
Iteration 394, loss = 0.53733503
Iteration 395, loss = 0.53717795
Iteration 396, loss = 0.53718003
Iteration 397, loss = 0.53786205
Iteration 398, loss = 0.53820100
Iteration 399, loss = 0.53783946
Iteration 400, loss = 0.53687047
Iteration 401, loss = 0.53721261
Iteration 402, loss = 0.53720126
Iteration 403, loss = 0.53717535
Iteration 404, loss = 0.53751199
Iteration 405, loss = 0.53725043
Iteration 406, loss = 0.53674513
Iteration 407, loss = 0.53684415
Iteration 408, loss = 0.53672630
Iteration 409, loss = 0.53690631
Iteration 410, loss = 0.53706569
Iteration 411, loss = 0.53678168
Iteration 412, loss = 0.53689165
Iteration 413, loss = 0.53687013
Iteration 414, loss = 0.53676823
Iteration 415, loss = 0.53651957
Iteration 416, loss = 0.53765348
Iteration 417, loss = 0.53664486
Iteration 418, loss = 0.53642752
Iteration 419, loss = 0.53648125
Iteration 420, loss = 0.53661896
Iteration 421, loss = 0.53683171
Iteration 422, loss = 0.53655927
Iteration 423, loss = 0.53639162
Iteration 424, loss = 0.53637356
Iteration 425, loss = 0.53654402
Iteration 426, loss = 0.53668029
Iteration 427, loss = 0.53685901
Iteration 428, loss = 0.53640664
Iteration 429, loss = 0.53653678
Iteration 430, loss = 0.53655320
Iteration 431, loss = 0.53647193
Iteration 432, loss = 0.53640857
Iteration 433, loss = 0.53628668
Iteration 434, loss = 0.53648934
Iteration 435, loss = 0.53677116
Iteration 436, loss = 0.53787824
Iteration 437, loss = 0.53653678
Iteration 438, loss = 0.53636973
Iteration 439, loss = 0.53637380
Iteration 440, loss = 0.53678846
Iteration 441, loss = 0.53630046
Iteration 442, loss = 0.53638791
Iteration 443, loss = 0.53665320
Iteration 444, loss = 0.53602139
Iteration 445, loss = 0.53573921
Iteration 446, loss = 0.53602158
Iteration 447, loss = 0.53615847
Iteration 448, loss = 0.53587654
Iteration 449, loss = 0.53597399
Iteration 450, loss = 0.53710844
Iteration 451, loss = 0.53635722
Iteration 452, loss = 0.53607033
Iteration 453, loss = 0.53582796
Iteration 454, loss = 0.53562241
Iteration 455, loss = 0.53638782
Iteration 456, loss = 0.53579516
Iteration 457, loss = 0.53572553
Iteration 458, loss = 0.53653995
Iteration 459, loss = 0.53579973
Iteration 460, loss = 0.53605672
Iteration 461, loss = 0.53583559
Iteration 462, loss = 0.53568355
Iteration 463, loss = 0.53545983
Iteration 464, loss = 0.53562421
Iteration 465, loss = 0.53633135
Iteration 466, loss = 0.53573609
Iteration 467, loss = 0.53575405
Iteration 468, loss = 0.53565652
Iteration 469, loss = 0.53602733
Iteration 470, loss = 0.53534987
Iteration 471, loss = 0.53571766
Iteration 472, loss = 0.53590254
Iteration 473, loss = 0.53515540
Iteration 474, loss = 0.53608903
Iteration 475, loss = 0.53548308
Iteration 476, loss = 0.53593380
Iteration 477, loss = 0.53542466
Iteration 478, loss = 0.53551781
Iteration 479, loss = 0.53549167
Iteration 480, loss = 0.53567657
Iteration 481, loss = 0.53567179
Iteration 482, loss = 0.53564575
Iteration 483, loss = 0.53558648
Iteration 484, loss = 0.53569241
Iteration 485, loss = 0.53588200
Iteration 486, loss = 0.53624253
Iteration 487, loss = 0.53559988
Iteration 488, loss = 0.53521972
Iteration 489, loss = 0.53539251
Iteration 490, loss = 0.53499369
Iteration 491, loss = 0.53531329
Iteration 492, loss = 0.53524031
Iteration 493, loss = 0.53487833
Iteration 494, loss = 0.53532717
Iteration 495, loss = 0.53494676
Iteration 496, loss = 0.53492913
Iteration 497, loss = 0.53573217
Iteration 498, loss = 0.53504085
Iteration 499, loss = 0.53515519
Iteration 500, loss = 0.53508765
Iteration 501, loss = 0.53496873
Iteration 502, loss = 0.53464738
Iteration 503, loss = 0.53540680
Iteration 504, loss = 0.53548512
Iteration 505, loss = 0.53498586
Iteration 506, loss = 0.53514400
Iteration 507, loss = 0.53479106
Iteration 508, loss = 0.53491161
Iteration 509, loss = 0.53490975
Iteration 510, loss = 0.53446311
Iteration 511, loss = 0.53569077
Iteration 512, loss = 0.53466451
Iteration 513, loss = 0.53470579
Iteration 514, loss = 0.53516591
Iteration 515, loss = 0.53483194
Iteration 516, loss = 0.53494780
Iteration 517, loss = 0.53497677
Iteration 518, loss = 0.53448086
Iteration 519, loss = 0.53457312
Iteration 520, loss = 0.53453262
Iteration 521, loss = 0.53443909
Iteration 522, loss = 0.53472662
Iteration 523, loss = 0.53487103
Iteration 524, loss = 0.53480551
Iteration 525, loss = 0.53432208
Iteration 526, loss = 0.53451023
Iteration 527, loss = 0.53446656
Iteration 528, loss = 0.53460089
Iteration 529, loss = 0.53471590
Iteration 530, loss = 0.53439438
Iteration 531, loss = 0.53460614
