5514
5514
5522
[0, 0, 1, 1000, 0, 0.0, 1.0, 0.5416666666666666]
Iteration 1, loss = 0.61661663
Iteration 2, loss = 0.51617355
Iteration 3, loss = 0.49574589
Iteration 4, loss = 0.49113122
Iteration 5, loss = 0.48730438
Iteration 6, loss = 0.48517003
Iteration 7, loss = 0.48456269
Iteration 8, loss = 0.48513130
Iteration 9, loss = 0.48292210
Iteration 10, loss = 0.48420471
Iteration 11, loss = 0.48090208
Iteration 12, loss = 0.47841220
Iteration 13, loss = 0.48516459
Iteration 14, loss = 0.47975736
Iteration 15, loss = 0.48010952
Iteration 16, loss = 0.47902256
Iteration 17, loss = 0.47853929
Iteration 18, loss = 0.47947448
Iteration 19, loss = 0.47861687
Iteration 20, loss = 0.47866693
Iteration 21, loss = 0.47685567
Iteration 22, loss = 0.47367742
Iteration 23, loss = 0.47451298
Iteration 24, loss = 0.47326240
Iteration 25, loss = 0.47252513
Iteration 26, loss = 0.47198737
Iteration 27, loss = 0.47103787
Iteration 28, loss = 0.47002777
Iteration 29, loss = 0.47333916
Iteration 30, loss = 0.47124912
Iteration 31, loss = 0.47286980
Iteration 32, loss = 0.47220492
Iteration 33, loss = 0.46972543
Iteration 34, loss = 0.47126546
Iteration 35, loss = 0.47086421
Iteration 36, loss = 0.46968626
Iteration 37, loss = 0.46739601
Iteration 38, loss = 0.46910938
Iteration 39, loss = 0.46834979
Iteration 40, loss = 0.46932738
Iteration 41, loss = 0.46862748
Iteration 42, loss = 0.46627865
Iteration 43, loss = 0.46585066
Iteration 44, loss = 0.46638314
Iteration 45, loss = 0.46652339
Iteration 46, loss = 0.46422584
Iteration 47, loss = 0.46552647
Iteration 48, loss = 0.46415451
Iteration 49, loss = 0.46421835
Iteration 50, loss = 0.46382725
Iteration 51, loss = 0.46456278
Iteration 52, loss = 0.46484184
Iteration 53, loss = 0.46495961
Iteration 54, loss = 0.46452122
Iteration 55, loss = 0.46640122
Iteration 56, loss = 0.46319384
Iteration 57, loss = 0.46368660
Iteration 58, loss = 0.46367968
Iteration 59, loss = 0.46266782
Iteration 60, loss = 0.46478276
Iteration 61, loss = 0.46365508
Iteration 62, loss = 0.46495311
Iteration 63, loss = 0.46331198
Iteration 64, loss = 0.46393681
Iteration 65, loss = 0.46302514
Iteration 66, loss = 0.46116300
Iteration 67, loss = 0.46159958
Iteration 68, loss = 0.46054092
Iteration 69, loss = 0.46026396
Iteration 70, loss = 0.46152028
Iteration 71, loss = 0.46283567
Iteration 72, loss = 0.46005611
Iteration 73, loss = 0.45868153
Iteration 74, loss = 0.45877575
Iteration 75, loss = 0.46114951
Iteration 76, loss = 0.45996860
Iteration 77, loss = 0.45790663
Iteration 78, loss = 0.45819587
Iteration 79, loss = 0.45894932
Iteration 80, loss = 0.45634664
Iteration 81, loss = 0.45791454
Iteration 82, loss = 0.45879723
Iteration 83, loss = 0.45720379
Iteration 84, loss = 0.46006129
Iteration 85, loss = 0.46007146
Iteration 86, loss = 0.45855108
Iteration 87, loss = 0.45753283
Iteration 88, loss = 0.45680026
Iteration 89, loss = 0.45742629
Iteration 90, loss = 0.45891060
Iteration 91, loss = 0.45626458
Iteration 92, loss = 0.45668163
Iteration 93, loss = 0.45936850
Iteration 94, loss = 0.45833421
Iteration 95, loss = 0.45624579
Iteration 96, loss = 0.45690652
Iteration 97, loss = 0.45867850
Iteration 98, loss = 0.45542266
Iteration 99, loss = 0.45529544
Iteration 100, loss = 0.45437236
Iteration 101, loss = 0.45397123
Iteration 102, loss = 0.45624180
Iteration 103, loss = 0.45604192
Iteration 104, loss = 0.45442406
Iteration 105, loss = 0.45774212
Iteration 106, loss = 0.46134722
Iteration 107, loss = 0.45323673
Iteration 108, loss = 0.45330228
Iteration 109, loss = 0.45815803
Iteration 110, loss = 0.46119131
Iteration 111, loss = 0.45615062
Iteration 112, loss = 0.45585809
Iteration 113, loss = 0.45381581
Iteration 114, loss = 0.45833809
Iteration 115, loss = 0.45957173
Iteration 116, loss = 0.45318904
Iteration 117, loss = 0.45367064
Iteration 118, loss = 0.45411408
Iteration 119, loss = 0.45380073
Iteration 120, loss = 0.45338651
Iteration 121, loss = 0.45383829
Iteration 122, loss = 0.45264339
Iteration 123, loss = 0.46273899
Iteration 124, loss = 0.45865821
Iteration 125, loss = 0.45434725
Iteration 126, loss = 0.45133859
Iteration 127, loss = 0.45491024
Iteration 128, loss = 0.45256205
Iteration 129, loss = 0.45212531
Iteration 130, loss = 0.45062614
Iteration 131, loss = 0.45407772
Iteration 132, loss = 0.45210821
Iteration 133, loss = 0.45117098
Iteration 134, loss = 0.45177120
Iteration 135, loss = 0.45115654
Iteration 136, loss = 0.45070496
Iteration 137, loss = 0.45048871
Iteration 138, loss = 0.45240776
Iteration 139, loss = 0.44952556
Iteration 140, loss = 0.45003630
Iteration 141, loss = 0.44962674
Iteration 142, loss = 0.44954258
Iteration 143, loss = 0.45075976
Iteration 144, loss = 0.44929892
Iteration 145, loss = 0.45109724
Iteration 146, loss = 0.45113167
Iteration 147, loss = 0.45198840
Iteration 148, loss = 0.44858095
Iteration 149, loss = 0.44752358
Iteration 150, loss = 0.45083727
Iteration 151, loss = 0.44865146
Iteration 152, loss = 0.45031170
Iteration 153, loss = 0.45182563
Iteration 154, loss = 0.45007028
Iteration 155, loss = 0.44919447
Iteration 156, loss = 0.44855767
Iteration 157, loss = 0.45337487
Iteration 158, loss = 0.45117073
Iteration 159, loss = 0.44858247
Iteration 160, loss = 0.45113667
Iteration 161, loss = 0.44922786
Iteration 162, loss = 0.44888193
Iteration 163, loss = 0.44818419
Iteration 164, loss = 0.44780578
Iteration 165, loss = 0.44578008
Iteration 166, loss = 0.44750029
Iteration 167, loss = 0.44835594
Iteration 168, loss = 0.44658778
Iteration 169, loss = 0.44992789
Iteration 170, loss = 0.45007579
Iteration 171, loss = 0.44841723
Iteration 172, loss = 0.44608016
Iteration 173, loss = 0.44907893
Iteration 174, loss = 0.44776757
Iteration 175, loss = 0.44955767
Iteration 176, loss = 0.44776930
Iteration 177, loss = 0.44671772
Iteration 178, loss = 0.45092173
Iteration 179, loss = 0.45327920
Iteration 180, loss = 0.44614103
Iteration 181, loss = 0.44523101
Iteration 182, loss = 0.44635427
Iteration 183, loss = 0.44918117
Iteration 184, loss = 0.44542660
Iteration 185, loss = 0.44515647
Iteration 186, loss = 0.44431140
Iteration 187, loss = 0.44648491
Iteration 188, loss = 0.44878059
Iteration 189, loss = 0.44415857
Iteration 190, loss = 0.44589394
Iteration 191, loss = 0.44572319
Iteration 192, loss = 0.44519818
Iteration 193, loss = 0.44532201
Iteration 194, loss = 0.44616524
Iteration 195, loss = 0.44560975
Iteration 196, loss = 0.44732648
Iteration 197, loss = 0.44613454
Iteration 198, loss = 0.44443129
Iteration 199, loss = 0.44494529
Iteration 200, loss = 0.44570319
Iteration 201, loss = 0.44587340
Iteration 202, loss = 0.44382885
Iteration 203, loss = 0.44608820
Iteration 204, loss = 0.44596706
Iteration 205, loss = 0.44354410
Iteration 206, loss = 0.44418338
Iteration 207, loss = 0.44540713
Iteration 208, loss = 0.44524996
Iteration 209, loss = 0.44898031
Iteration 210, loss = 0.44599816
Iteration 211, loss = 0.44312435
Iteration 212, loss = 0.44251455
Iteration 213, loss = 0.44543585
Iteration 214, loss = 0.44382029
Iteration 215, loss = 0.44323285
Iteration 216, loss = 0.45112625
Iteration 217, loss = 0.44348541
Iteration 218, loss = 0.44415772
Iteration 219, loss = 0.44218946
Iteration 220, loss = 0.44230275
Iteration 221, loss = 0.44327192
Iteration 222, loss = 0.44168699
Iteration 223, loss = 0.44237832
Iteration 224, loss = 0.44277115
Iteration 225, loss = 0.44100345
Iteration 226, loss = 0.44316742
Iteration 227, loss = 0.44325649
Iteration 228, loss = 0.44164875
Iteration 229, loss = 0.44428795
Iteration 230, loss = 0.44228485
Iteration 231, loss = 0.44557717
Iteration 232, loss = 0.44476247
Iteration 233, loss = 0.44275737
Iteration 234, loss = 0.44440035
Iteration 235, loss = 0.44300837
Iteration 236, loss = 0.44160447
Iteration 237, loss = 0.44371892
Iteration 238, loss = 0.44443794
Iteration 239, loss = 0.44405068
Iteration 240, loss = 0.44369759
Iteration 241, loss = 0.44688809
Iteration 242, loss = 0.44235378
Iteration 243, loss = 0.44360875
Iteration 244, loss = 0.44272384
Iteration 245, loss = 0.44236400
Iteration 246, loss = 0.44224660
Iteration 247, loss = 0.44153582
Iteration 248, loss = 0.44385449
Iteration 249, loss = 0.44148517
Iteration 250, loss = 0.44344897
Iteration 251, loss = 0.44180593
Iteration 252, loss = 0.44219918
Iteration 253, loss = 0.43966105
Iteration 254, loss = 0.44057594
Iteration 255, loss = 0.44190068
Iteration 256, loss = 0.44032230
Iteration 257, loss = 0.44054858
Iteration 258, loss = 0.44085634
Iteration 259, loss = 0.44247959
Iteration 260, loss = 0.44139287
Iteration 261, loss = 0.44330369
Iteration 262, loss = 0.44295207
Iteration 263, loss = 0.44215282
Iteration 264, loss = 0.44073989
Iteration 265, loss = 0.44432994
Iteration 266, loss = 0.44017026
Iteration 267, loss = 0.44061208
Iteration 268, loss = 0.44180764
Iteration 269, loss = 0.44503877
Iteration 270, loss = 0.44279250
Iteration 271, loss = 0.44131133
Iteration 272, loss = 0.44066509
Iteration 273, loss = 0.44077373
Iteration 274, loss = 0.44008574
Iteration 275, loss = 0.44082383
Iteration 276, loss = 0.44012421
Iteration 277, loss = 0.44072879
Iteration 278, loss = 0.44075855
Iteration 279, loss = 0.44067833
Iteration 280, loss = 0.44176879
Iteration 281, loss = 0.44001204
Iteration 282, loss = 0.44279000
Iteration 283, loss = 0.44313208
Iteration 284, loss = 0.44293951
Iteration 285, loss = 0.44263507
Iteration 286, loss = 0.43935345
Iteration 287, loss = 0.44024042
Iteration 288, loss = 0.43991249
Iteration 289, loss = 0.43736603
Iteration 290, loss = 0.43864821
Iteration 291, loss = 0.43994963
Iteration 292, loss = 0.44152101
Iteration 293, loss = 0.43906316
Iteration 294, loss = 0.43874926
Iteration 295, loss = 0.43995258
Iteration 296, loss = 0.43955137
Iteration 297, loss = 0.43778741
Iteration 298, loss = 0.43929979
Iteration 299, loss = 0.44092047
Iteration 300, loss = 0.44500335
Iteration 301, loss = 0.44051725
Iteration 302, loss = 0.43900938
Iteration 303, loss = 0.44099115
Iteration 304, loss = 0.44507579
Iteration 305, loss = 0.43980985
Iteration 306, loss = 0.44242033
Iteration 307, loss = 0.44103511
Iteration 308, loss = 0.44111517
Iteration 309, loss = 0.44155400
Iteration 310, loss = 0.43883334
Iteration 311, loss = 0.43726415
Iteration 312, loss = 0.43985529
Iteration 313, loss = 0.43774975
Iteration 314, loss = 0.44319616
Iteration 315, loss = 0.43947454
Iteration 316, loss = 0.44239704
Iteration 317, loss = 0.43892280
Iteration 318, loss = 0.43980251
Iteration 319, loss = 0.43781347
Iteration 320, loss = 0.43801200
Iteration 321, loss = 0.43793356
Iteration 322, loss = 0.43784297
Iteration 323, loss = 0.43812525
Iteration 324, loss = 0.43797606
Iteration 325, loss = 0.44284891
Iteration 326, loss = 0.44046281
Iteration 327, loss = 0.44109360
Iteration 328, loss = 0.44471014
Iteration 329, loss = 0.44163299
Iteration 330, loss = 0.44032488
Iteration 331, loss = 0.44012797
Iteration 332, loss = 0.43931289
Iteration 333, loss = 0.43725101
Iteration 334, loss = 0.43788411
Iteration 335, loss = 0.43714332
Iteration 336, loss = 0.43825493
Iteration 337, loss = 0.43999315
Iteration 338, loss = 0.43889531
Iteration 339, loss = 0.43765237
Iteration 340, loss = 0.43905246
Iteration 341, loss = 0.43961737
Iteration 342, loss = 0.43671704
Iteration 343, loss = 0.43903120
Iteration 344, loss = 0.43751381
Iteration 345, loss = 0.43920478
Iteration 346, loss = 0.43808397
Iteration 347, loss = 0.43668285
Iteration 348, loss = 0.43751629
Iteration 349, loss = 0.43631627
Iteration 350, loss = 0.43779953
Iteration 351, loss = 0.43720038
Iteration 352, loss = 0.43840134
Iteration 353, loss = 0.43696190
Iteration 354, loss = 0.43680978
Iteration 355, loss = 0.43695053
Iteration 356, loss = 0.43862917
Iteration 357, loss = 0.43997808
Iteration 358, loss = 0.43692795
Iteration 359, loss = 0.43805478
Iteration 360, loss = 0.43616147
Iteration 361, loss = 0.43530708
Iteration 362, loss = 0.43805339
Iteration 363, loss = 0.44137766
Iteration 364, loss = 0.43786743
Iteration 365, loss = 0.44072341
Iteration 366, loss = 0.43496898
Iteration 367, loss = 0.43981446
Iteration 368, loss = 0.43695603
Iteration 369, loss = 0.43621555
Iteration 370, loss = 0.43889611
Iteration 371, loss = 0.43575164
Iteration 372, loss = 0.43632858
Iteration 373, loss = 0.43840542
Iteration 374, loss = 0.43636059
Iteration 375, loss = 0.43748405
Iteration 376, loss = 0.43561069
Iteration 377, loss = 0.43573344
