5514
5514
5522
[0, 0, 1, 1000, 0, 0.0, 1.0, 0.5416666666666666]
Iteration 1, loss = 0.68436320
Iteration 2, loss = 0.67985364
Iteration 3, loss = 0.67561160
Iteration 4, loss = 0.67212589
Iteration 5, loss = 0.66900736
Iteration 6, loss = 0.66604570
Iteration 7, loss = 0.66309229
Iteration 8, loss = 0.66023142
Iteration 9, loss = 0.65738744
Iteration 10, loss = 0.65453596
Iteration 11, loss = 0.65160186
Iteration 12, loss = 0.64850651
Iteration 13, loss = 0.64531601
Iteration 14, loss = 0.64193642
Iteration 15, loss = 0.63845180
Iteration 16, loss = 0.63480639
Iteration 17, loss = 0.63110660
Iteration 18, loss = 0.62730689
Iteration 19, loss = 0.62347858
Iteration 20, loss = 0.61954973
Iteration 21, loss = 0.61558256
Iteration 22, loss = 0.61155894
Iteration 23, loss = 0.60753539
Iteration 24, loss = 0.60342004
Iteration 25, loss = 0.59933304
Iteration 26, loss = 0.59528496
Iteration 27, loss = 0.59115617
Iteration 28, loss = 0.58721625
Iteration 29, loss = 0.58323919
Iteration 30, loss = 0.57919825
Iteration 31, loss = 0.57524446
Iteration 32, loss = 0.57135306
Iteration 33, loss = 0.56751410
Iteration 34, loss = 0.56376762
Iteration 35, loss = 0.56014076
Iteration 36, loss = 0.55658819
Iteration 37, loss = 0.55324380
Iteration 38, loss = 0.54995392
Iteration 39, loss = 0.54679289
Iteration 40, loss = 0.54376249
Iteration 41, loss = 0.54082760
Iteration 42, loss = 0.53804120
Iteration 43, loss = 0.53543576
Iteration 44, loss = 0.53296250
Iteration 45, loss = 0.53065169
Iteration 46, loss = 0.52846910
Iteration 47, loss = 0.52644870
Iteration 48, loss = 0.52448350
Iteration 49, loss = 0.52269771
Iteration 50, loss = 0.52087656
Iteration 51, loss = 0.51928911
Iteration 52, loss = 0.51780538
Iteration 53, loss = 0.51633505
Iteration 54, loss = 0.51512867
Iteration 55, loss = 0.51382244
Iteration 56, loss = 0.51263410
Iteration 57, loss = 0.51176430
Iteration 58, loss = 0.51055695
Iteration 59, loss = 0.50973722
Iteration 60, loss = 0.50875811
Iteration 61, loss = 0.50807507
Iteration 62, loss = 0.50712156
Iteration 63, loss = 0.50668644
Iteration 64, loss = 0.50589459
Iteration 65, loss = 0.50525560
Iteration 66, loss = 0.50465693
Iteration 67, loss = 0.50408062
Iteration 68, loss = 0.50359384
Iteration 69, loss = 0.50314149
Iteration 70, loss = 0.50259012
Iteration 71, loss = 0.50215648
Iteration 72, loss = 0.50182760
Iteration 73, loss = 0.50139238
Iteration 74, loss = 0.50112285
Iteration 75, loss = 0.50080874
Iteration 76, loss = 0.50027053
Iteration 77, loss = 0.50014379
Iteration 78, loss = 0.49963583
Iteration 79, loss = 0.49946438
Iteration 80, loss = 0.49919999
Iteration 81, loss = 0.49889440
Iteration 82, loss = 0.49862947
Iteration 83, loss = 0.49827212
Iteration 84, loss = 0.49805185
Iteration 85, loss = 0.49779057
Iteration 86, loss = 0.49756306
Iteration 87, loss = 0.49729549
Iteration 88, loss = 0.49710184
Iteration 89, loss = 0.49683742
Iteration 90, loss = 0.49682036
Iteration 91, loss = 0.49663540
Iteration 92, loss = 0.49635518
Iteration 93, loss = 0.49605341
Iteration 94, loss = 0.49589392
Iteration 95, loss = 0.49576319
Iteration 96, loss = 0.49542675
Iteration 97, loss = 0.49532434
Iteration 98, loss = 0.49514608
Iteration 99, loss = 0.49495354
Iteration 100, loss = 0.49473910
Iteration 101, loss = 0.49453377
Iteration 102, loss = 0.49438531
Iteration 103, loss = 0.49419295
Iteration 104, loss = 0.49426750
Iteration 105, loss = 0.49399251
Iteration 106, loss = 0.49371152
Iteration 107, loss = 0.49369115
Iteration 108, loss = 0.49348197
Iteration 109, loss = 0.49325384
Iteration 110, loss = 0.49310028
Iteration 111, loss = 0.49300336
Iteration 112, loss = 0.49283315
